date_time,scheduled_time,module_name,mounted_on,v,i,status_integer,axis_azimuth,axis_tilt,temperature_air,relative_humidity,dew_point,relative_pressure,wind_speed,wind_speed_std,wind_direction,wind_direction_std,irradiance
2026-05-12T16:00:10.027144+02:00,2026-05-12T16:00:10+02:00,My_solar_panel_1,Egis-tracker,-0.000298033,7.95003e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:00:20.024243+02:00,2026-05-12T16:00:20+02:00,My_solar_panel_1,Egis-tracker,-0.000301814,8.00792e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:00:30.027320+02:00,2026-05-12T16:00:30+02:00,My_solar_panel_1,Egis-tracker,-0.000290815,7.92201e-07,100,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:00:40.026655+02:00,2026-05-12T16:00:40+02:00,My_solar_panel_1,Egis-tracker,-0.000302846,7.90698e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:00:50.024992+02:00,2026-05-12T16:00:50+02:00,My_solar_panel_1,Egis-tracker,-0.000292192,7.92024e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:01:00.028554+02:00,2026-05-12T16:01:00+02:00,My_solar_panel_1,Egis-tracker,-0.000299753,7.89033e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:01:10.024669+02:00,2026-05-12T16:01:10+02:00,My_solar_panel_1,Egis-tracker,-0.000304222,7.84114e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:01:20.027459+02:00,2026-05-12T16:01:20+02:00,My_solar_panel_1,Egis-tracker,-0.00030113,7.98775e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:01:30.028688+02:00,2026-05-12T16:01:30+02:00,My_solar_panel_1,Egis-tracker,-0.000300785,8.00179e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:01:40.026765+02:00,2026-05-12T16:01:40+02:00,My_solar_panel_1,Egis-tracker,-0.000303878,8.01844e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:01:50.027026+02:00,2026-05-12T16:01:50+02:00,My_solar_panel_1,Egis-tracker,-0.00030113,7.99038e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:02:00.029218+02:00,2026-05-12T16:02:00+02:00,My_solar_panel_1,Egis-tracker,-0.000298721,7.87542e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:02:10.027447+02:00,2026-05-12T16:02:10+02:00,My_solar_panel_1,Egis-tracker,-0.000295628,7.97638e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:02:20.027416+02:00,2026-05-12T16:02:20+02:00,My_solar_panel_1,Egis-tracker,-0.000297005,8.03079e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:02:30.027913+02:00,2026-05-12T16:02:30+02:00,My_solar_panel_1,Egis-tracker,-0.000292192,8.01416e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:02:40.027293+02:00,2026-05-12T16:02:40+02:00,My_solar_panel_1,Egis-tracker,-0.00029494,7.89389e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:02:50.027614+02:00,2026-05-12T16:02:50+02:00,My_solar_panel_1,Egis-tracker,-0.000303878,8.0869e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:03:00.028469+02:00,2026-05-12T16:03:00+02:00,My_solar_panel_1,Egis-tracker,-0.000298721,7.91053e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:03:10.030464+02:00,2026-05-12T16:03:10+02:00,My_solar_panel_1,Egis-tracker,-0.000293564,8.02906e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:03:20.028518+02:00,2026-05-12T16:03:20+02:00,My_solar_panel_1,Egis-tracker,-0.000301814,7.8868e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-18T10:05:50.028240+02:00,2026-05-18T10:05:50+02:00,My_solar_panel_1,Egis-tracker,-0.000303534,8.00177e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-18T10:06:00.027004+02:00,2026-05-18T10:06:00+02:00,My_solar_panel_1,Egis-tracker,-0.000279473,7.92211e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-18T10:06:10.029014+02:00,2026-05-18T10:06:10+02:00,My_solar_panel_1,Egis-tracker,-0.000301814,7.92367e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-18T10:06:20.029529+02:00,2026-05-18T10:06:20+02:00,My_solar_panel_1,Egis-tracker,-0.000308003,8.04649e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-18T10:06:30.026002+02:00,2026-05-18T10:06:30+02:00,My_solar_panel_1,Egis-tracker,-0.000304222,7.80954e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-18T10:06:40.027974+02:00,2026-05-18T10:06:40+02:00,My_solar_panel_1,Egis-tracker,-0.000308347,7.88148e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-18T10:06:50.030020+02:00,2026-05-18T10:06:50+02:00,My_solar_panel_1,Egis-tracker,-0.000295628,7.99569e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-18T10:07:00.023005+02:00,2026-05-18T10:07:00+02:00,My_solar_panel_1,Egis-tracker,-0.000282222,7.94842e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-18T10:07:10.024796+02:00,2026-05-18T10:07:10+02:00,My_solar_panel_1,Egis-tracker,-0.00030319,7.96052e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
